score,gbif_stratum,budget_share,test_years,test_component_records,target_records,selected_component_records,captured_target_records,capture_rate,selected_target_rate,overall_target_rate,lift,event_deduplicated_cost_capture,event_deduplicated_aos_capture
component_transition_score,all matched,0.05,26,149902,8581,7507,3181,0.37070271530124693,0.4237378446783003,0.05724406612320049,7.402301642345481,0.7716148358627976,0.5391970498359826
component_transition_score,all matched,0.1,26,149902,8581,15003,4727,0.5508681971798158,0.3150703192694794,0.05724406612320049,5.503982169809289,0.8906236043877636,0.7338017936829148
component_transition_score,high bird activity,0.05,26,72173,4528,3621,1568,0.3462897526501767,0.43302954984810826,0.0627381430728943,6.902173520580282,0.7606916006433814,0.47783085738434083
component_transition_score,high bird activity,0.1,26,72173,4528,7231,2375,0.5245141342756183,0.3284469644585811,0.0627381430728943,5.235203791048846,0.8507301340779955,0.6957793136044531
component_transition_score,low bird activity,0.05,26,77729,4053,3899,1599,0.3945225758697261,0.4101051551679918,0.05214270092243564,7.865053936849947,0.7736909333098255,0.5585533296978304
component_transition_score,low bird activity,0.1,26,77729,4053,7784,2308,0.5694547248951394,0.2965056526207605,0.05214270092243564,5.686426812869255,0.9019295181071681,0.7559456563220388
gbif_occurrence_only,all matched,0.05,26,149902,8581,7507,496,0.0578021209649225,0.06607166644465166,0.05724406612320049,1.1542098757005215,0.05392639033605957,0.05648169462473418
gbif_occurrence_only,all matched,0.1,26,149902,8581,15003,980,0.11420580351940333,0.06532026927947744,0.05724406612320049,1.1410836738762649,0.1304182279613314,0.11124422129167487
