test_year,score,weather_stratum,budget_share,test_component_records,target_records,selected_component_records,captured_target_records,capture_rate,selected_target_rate,overall_target_rate,lift,event_deduplicated_cost_capture,event_deduplicated_aos_capture,selected_event_deduplicated_cost,total_event_deduplicated_cost,selected_event_deduplicated_aos,total_event_deduplicated_aos
2000,component_transition_score,all matched,0.05,1354,188,68,40,0.2127659574468085,0.5882352941176471,0.13884785819793205,4.236545682102628,0.5910901933277805,0.5531453362255966,8427099.0,14256875.0,2550.0,4610.0
2000,component_transition_score,all matched,0.1,1354,188,136,75,0.39893617021276595,0.5514705882352942,0.13884785819793205,3.9717615769712142,0.8828518171057823,0.8533622559652928,12586708.0,14256875.0,3934.0,4610.0
2000,component_transition_score,normal weather,0.05,878,126,44,24,0.19047619047619047,0.5454545454545454,0.14350797266514806,3.8008658008658007,0.7486091442310996,0.7004405286343612,7124231.0,9516623.0,2226.0,3178.0
2000,component_transition_score,normal weather,0.1,878,126,88,46,0.36507936507936506,0.5227272727272727,0.14350797266514806,3.6424963924963927,0.8314768799814808,0.8200125865324103,7912852.0,9516623.0,2606.0,3178.0
2000,component_transition_score,adverse weather,0.05,476,62,24,15,0.24193548387096775,0.625,0.13025210084033614,4.798387096774193,0.21312601102219883,0.20949720670391062,1010271.0,4740252.0,300.0,1432.0
2000,component_transition_score,adverse weather,0.1,476,62,48,27,0.43548387096774194,0.5625,0.13025210084033614,4.318548387096774,0.9859931497312802,0.9385474860335196,4673856.0,4740252.0,1344.0,1432.0
2000,component_transition_score,low visibility,0.05,88,13,5,5,0.38461538461538464,1.0,0.14772727272727273,6.769230769230769,0.5219130800992429,0.8115942028985508,171021.0,327681.0,168.0,207.0
2000,component_transition_score,low visibility,0.1,88,13,9,6,0.46153846153846156,0.6666666666666666,0.14772727272727273,4.512820512820513,0.5219130800992429,0.8164251207729468,171021.0,327681.0,169.0,207.0
2000,component_transition_score,precipitation,0.05,182,21,10,4,0.19047619047619047,0.4,0.11538461538461539,3.466666666666667,0.5041585755220404,0.14953271028037382,292597.0,580367.0,48.0,321.0
2000,component_transition_score,precipitation,0.1,182,21,19,9,0.42857142857142855,0.47368421052631576,0.11538461538461539,4.105263157894736,0.9990350933116459,0.8847352024922118,579807.0,580367.0,284.0,321.0
2000,component_transition_score,low ceiling,0.05,417,53,21,14,0.2641509433962264,0.6666666666666666,0.12709832134292565,5.245283018867925,0.21085881630325098,0.24410089503661514,961221.0,4558600.0,300.0,1229.0
2000,component_transition_score,low ceiling,0.1,417,53,42,25,0.4716981132075472,0.5952380952380952,0.12709832134292565,4.683288409703504,0.985885140174615,0.9308380797396257,4494256.0,4558600.0,1144.0,1229.0
2000,weather_severity_only,all matched,0.05,1354,188,68,8,0.0425531914893617,0.11764705882352941,0.13884785819793205,0.8473091364205256,0.010988382797773004,0.00824295010845987,156660.0,14256875.0,38.0,4610.0
2000,weather_severity_only,all matched,0.1,1354,188,136,19,0.10106382978723404,0.13970588235294118,0.13884785819793205,1.0061795994993743,0.040066844943229145,0.059219088937093274,571228.0,14256875.0,273.0,4610.0
2001,component_transition_score,all matched,0.05,1386,189,70,46,0.24338624338624337,0.6571428571428571,0.13636363636363635,4.81904761904762,0.7913601254609212,0.29968553459119496,18056957.0,22817623.0,953.0,3180.0
2001,component_transition_score,all matched,0.1,1386,189,139,77,0.4074074074074074,0.5539568345323741,0.13636363636363635,4.062350119904077,0.8057315172575162,0.6723270440251572,18384878.0,22817623.0,2138.0,3180.0
2001,component_transition_score,normal weather,0.05,984,140,50,32,0.22857142857142856,0.64,0.14227642276422764,4.498285714285714,0.8294987150525579,0.44218477629285297,17076107.0,20586056.0,761.0,1721.0
2001,component_transition_score,normal weather,0.1,984,140,99,56,0.4,0.5656565656565656,0.14227642276422764,3.9757575757575756,0.9018246622859668,0.5857059848925044,18565013.0,20586056.0,1008.0,1721.0
2001,component_transition_score,adverse weather,0.05,402,49,21,11,0.22448979591836735,0.5238095238095238,0.12189054726368159,4.297376093294461,0.3380606542398234,0.08773132282385196,754405.0,2231567.0,128.0,1459.0
2001,component_transition_score,adverse weather,0.1,402,49,41,22,0.4489795918367347,0.5365853658536586,0.12189054726368159,4.402190144350423,0.5801465965395617,0.888279643591501,1294636.0,2231567.0,1296.0,1459.0
2001,component_transition_score,low visibility,0.05,70,11,4,2,0.18181818181818182,0.5,0.15714285714285714,3.181818181818182,0.2857142857142857,0.6666666666666666,10884.0,38094.0,56.0,84.0
2001,component_transition_score,low visibility,0.1,70,11,7,4,0.36363636363636365,0.5714285714285714,0.15714285714285714,3.6363636363636362,0.2857142857142857,0.6666666666666666,10884.0,38094.0,56.0,84.0
