airport_id,year,candidate_component_records,matched_component_records,weather_observations
ATL,2016,109,106,8756
ATL,2017,168,164,8728
ATL,2018,184,178,8718
ATL,2019,185,179,8729
ATL,2020,72,65,8748
ATL,2021,167,166,8728
ATL,2022,174,170,8728
ATL,2023,200,167,8734
ATL,2024,240,235,8753
ATL,2025,259,256,8725
SMF,2000,54,24,8689
SMF,2001,65,29,8677
SMF,2002,87,53,8687
SMF,2003,123,98,8699
SMF,2004,159,100,8746
SMF,2005,148,111,8730
SMF,2006,124,94,8714
SMF,2007,130,109,8736
SMF,2008,187,161,8751
SMF,2009,237,223,8734
SMF,2010,245,232,8729
SMF,2011,184,174,8736
SMF,2012,190,175,8754
SMF,2013,192,177,8734
SMF,2014,146,137,8734
SMF,2015,195,179,8733
SMF,2016,118,112,8750
SMF,2017,165,156,8735
SMF,2018,169,165,8733
SMF,2019,161,145,8735
SMF,2020,110,98,8759
SMF,2021,127,126,8734
SMF,2022,135,127,8731
SMF,2023,229,203,8735
SMF,2024,269,267,8752
SMF,2025,260,253,8726
MCO,2000,35,15,8661
MCO,2001,42,13,8729
MCO,2002,31,11,8696
MCO,2003,55,34,8703
MCO,2004,67,39,8720
MCO,2005,78,54,8710
MCO,2006,85,64,8722
MCO,2007,114,74,8679
MCO,2008,107,78,8721
MCO,2009,119,90,8720
MCO,2010,140,95,8720
MCO,2011,133,71,8630
MCO,2012,143,112,8637
MCO,2013,128,88,8730
MCO,2014,192,177,8728
MCO,2015,127,93,8726
MCO,2016,137,111,8758
MCO,2017,132,104,8719
MCO,2018,145,123,8733
MCO,2019,217,160,8724
MCO,2020,94,39,8752
MCO,2021,174,148,8729
MCO,2022,227,221,8725
MCO,2023,270,220,8738
MCO,2024,253,247,8757
MCO,2025,278,265,8706
IAH,2000,19,3,8669
IAH,2001,34,11,8726
IAH,2002,29,10,8706
IAH,2003,27,11,8701
IAH,2004,27,11,8701
IAH,2005,36,12,8729
IAH,2006,35,28,8731
IAH,2007,50,31,8719
IAH,2008,24,20,8717
IAH,2009,129,91,8731
IAH,2010,104,84,8730
IAH,2011,102,77,8714
IAH,2012,95,86,8757
IAH,2013,67,64,8732
IAH,2014,155,139,8725
IAH,2015,158,121,8734
IAH,2016,106,101,8755
IAH,2017,103,94,8734
IAH,2018,144,136,8736
IAH,2019,151,139,8735
IAH,2020,66,52,8760
IAH,2021,108,97,8732
IAH,2022,132,126,8731
IAH,2023,208,160,8736
IAH,2024,210,203,8761
IAH,2025,264,254,8729
CLT,2000,41,7,8549
CLT,2001,49,26,8661
CLT,2002,55,39,8550
CLT,2003,27,15,8718
CLT,2004,53,35,8678
CLT,2005,44,37,8145
CLT,2006,56,41,7978
CLT,2007,34,24,8627
CLT,2008,75,58,8727
CLT,2009,72,59,8722
CLT,2010,103,100,8711
CLT,2011,153,139,8725
CLT,2012,96,93,8713
CLT,2013,144,140,8716
CLT,2014,189,182,8727
CLT,2015,195,191,8704
CLT,2016,167,161,8755
CLT,2017,216,211,8725
CLT,2018,193,190,8716
CLT,2019,207,199,8727
CLT,2020,83,81,8741
CLT,2021,163,163,8719
CLT,2022,184,183,8622
CLT,2023,167,160,8715
CLT,2024,237,235,8749
CLT,2025,252,248,8714
LGA,2000,62,20,8725
LGA,2001,41,25,8722
LGA,2002,80,58,8729
LGA,2003,76,54,8734
LGA,2004,52,37,8749
LGA,2005,86,69,8729
LGA,2006,71,62,8710
LGA,2007,66,49,8702
LGA,2008,56,38,8745
LGA,2009,94,82,8730
LGA,2010,102,97,8717
LGA,2011,112,112,8715
LGA,2012,138,131,8751
LGA,2013,133,130,8719
LGA,2014,160,158,8725
LGA,2015,117,112,8709
LGA,2016,119,119,8750
LGA,2017,143,143,8725
LGA,2018,134,132,8717
LGA,2019,133,133,8724
LGA,2020,45,44,8742
LGA,2021,85,85,8729
LGA,2022,134,134,8727
LGA,2023,105,103,8734
LGA,2024,117,117,8757
LGA,2025,177,175,8725
SDF,2000,46,14,8683
SDF,2001,43,18,8717
SDF,2002,36,27,8721
SDF,2003,33,14,8722
SDF,2004,55,37,8752
SDF,2005,154,73,8733
SDF,2006,197,136,8732
SDF,2007,161,108,8732
SDF,2008,109,101,8752
SDF,2009,177,169,8733
SDF,2010,117,102,8734
SDF,2011,150,138,8746
SDF,2012,115,112,8754
SDF,2013,134,123,8733
SDF,2014,193,179,8733
SDF,2015,116,105,8728
SDF,2016,107,63,8756
SDF,2017,78,39,8728
SDF,2018,154,126,8735
SDF,2019,153,113,8730
SDF,2020,90,29,8756
SDF,2021,142,72,8732
SDF,2022,126,124,8726
SDF,2023,157,134,8736
SDF,2024,115,111,8758
SDF,2025,117,114,8735
MCI,2000,44,29,8626
MCI,2001,51,37,8603
MCI,2002,81,61,8677
MCI,2003,99,61,8704
MCI,2004,92,69,8707
MCI,2005,82,63,8693
MCI,2006,60,52,8606
MCI,2007,68,59,8675
MCI,2008,91,80,8724
MCI,2009,112,97,8721
MCI,2010,89,80,8701
MCI,2011,67,60,8704
MCI,2012,68,68,8755
MCI,2013,84,80,8719
MCI,2014,94,92,8724
MCI,2015,85,75,8685
MCI,2016,81,80,8746
MCI,2017,110,108,8728
MCI,2018,117,113,8713
MCI,2019,122,117,8724
MCI,2020,81,78,8744
MCI,2021,83,83,8710
MCI,2022,93,92,8726
MCI,2023,128,112,8734
MCI,2024,119,117,8749
MCI,2025,130,123,8735
AUS,2000,18,3,8467
AUS,2001,33,15,8591
AUS,2002,34,12,8633
AUS,2003,41,16,8608
AUS,2004,39,19,8551
AUS,2005,27,22,8681
AUS,2006,40,33,8679
AUS,2007,59,36,8701
AUS,2008,62,49,8741
AUS,2009,74,57,8718
AUS,2010,57,50,8723
AUS,2011,59,56,8623
AUS,2012,77,72,8752
AUS,2013,129,125,8711
AUS,2014,111,108,8695
AUS,2015,119,94,8647
AUS,2016,145,131,8754
AUS,2017,106,105,8720
AUS,2018,133,123,8712
AUS,2019,150,139,8720
AUS,2020,68,63,8745
AUS,2021,90,82,8728
AUS,2022,108,106,8728
AUS,2023,232,198,8731
AUS,2024,228,222,8727
AUS,2025,209,194,8721
EWR,2000,85,27,8732
EWR,2001,46,17,8728
EWR,2002,55,35,8723
EWR,2003,70,52,8671
EWR,2004,58,33,8710
EWR,2005,76,66,8711
EWR,2006,70,62,8694
EWR,2007,88,73,8701
EWR,2008,80,72,8740
EWR,2009,123,105,8720
EWR,2010,120,117,8724
EWR,2011,80,76,8731
EWR,2012,122,120,8736
EWR,2013,105,104,8721
EWR,2014,164,163,8730
EWR,2015,127,127,8715
EWR,2016,109,107,8757
EWR,2017,130,129,8729
EWR,2018,164,160,8718
EWR,2019,96,95,8729
EWR,2020,41,38,8746
EWR,2021,68,64,8729
EWR,2022,115,115,8728
EWR,2023,142,138,8737
EWR,2024,119,118,8758
EWR,2025,122,117,8726
CVG,2000,72,58,8705
CVG,2001,46,39,8701
CVG,2002,53,38,8689
CVG,2003,57,36,8718
CVG,2004,116,90,8385
CVG,2005,59,49,8284
CVG,2006,76,65,8726
CVG,2007,42,38,8681
CVG,2008,44,33,8750
CVG,2009,37,26,8721
CVG,2010,37,32,8718
CVG,2011,41,40,8613
CVG,2012,57,55,8644
CVG,2013,31,30,8597
CVG,2014,59,54,8646
CVG,2015,44,38,8645
CVG,2016,55,52,8679
CVG,2017,59,58,8726
CVG,2018,99,98,8719
CVG,2019,93,84,8725
CVG,2020,57,48,8749
CVG,2021,66,63,8723
CVG,2022,94,93,8730
CVG,2023,127,110,8725
CVG,2024,126,122,8751
CVG,2025,104,99,8724
PHL,2000,70,44,8707
PHL,2001,48,27,8706
PHL,2002,52,27,8690
PHL,2003,53,32,8549
PHL,2004,53,27,8740
PHL,2005,68,39,8733
PHL,2006,74,53,8732
PHL,2007,85,66,8729
PHL,2008,95,70,8748
PHL,2009,125,103,8726
PHL,2010,105,98,8731
PHL,2011,204,195,8746
PHL,2012,153,147,8746
PHL,2013,127,121,8721
PHL,2014,209,193,8731
PHL,2015,142,132,8725
PHL,2016,123,114,8757
PHL,2017,133,129,8733
PHL,2018,153,148,8736
PHL,2019,148,133,8734
PHL,2020,80,65,8758
PHL,2021,125,116,8736
PHL,2022,100,99,8728
PHL,2023,101,93,8736
PHL,2024,130,129,8760
PHL,2025,129,127,8730
LAX,2000,69,21,8634
LAX,2001,52,12,8688
LAX,2002,36,17,8616
LAX,2003,34,16,8732
LAX,2004,48,23,8750
LAX,2005,59,43,8621
LAX,2006,41,31,8700
LAX,2007,35,30,8622
LAX,2008,37,32,8679
LAX,2009,71,55,8727
LAX,2010,81,75,8731
LAX,2011,81,79,8733
LAX,2012,101,96,8754
LAX,2013,89,82,8734
LAX,2014,98,90,8726
LAX,2015,105,100,8734
LAX,2016,118,118,8760
LAX,2017,117,116,8735
LAX,2018,113,106,8733
LAX,2019,164,163,8736
LAX,2020,67,67,8758
LAX,2021,93,93,8733
LAX,2022,94,94,8730
LAX,2023,118,96,8735
LAX,2024,127,124,8758
LAX,2025,132,124,8716
BNA,2000,52,6,8732
BNA,2001,31,5,8718
BNA,2002,52,19,8722
BNA,2003,51,27,8727
BNA,2004,44,24,8747
BNA,2005,35,23,8733
BNA,2006,42,27,8718
BNA,2007,66,36,8725
BNA,2008,48,37,8749
BNA,2009,93,74,8729
BNA,2010,60,51,8728
BNA,2011,81,74,8735
BNA,2012,99,89,8755
BNA,2013,103,97,8734
BNA,2014,95,88,8734
BNA,2015,102,98,8729
