target,score,budget_share,train_window,first_test_year,last_test_year,num_test_years,test_component_records,target_records,selected_component_records,captured_target_records,pooled_capture_rate,pooled_selected_target_rate,pooled_overall_target_rate,pooled_lift,mean_annual_capture_rate,mean_annual_lift
event_hard,species_phase_size_rate,0.01,5,1995,2025,31,273838,55363,2752,2442,0.04410888138287304,0.8873546511627907,0.2021742782228909,4.389058088707553,0.04263686067467899,4.2380035924060175
event_hard,component_phase_size_rate,0.01,5,1995,2025,31,273838,55363,2752,2349,0.042429059118906126,0.8535610465116279,0.2021742782228909,4.221907227835398,0.04075589987086398,4.051436933169634
event_hard,component_phase_size_mass_rate,0.01,5,1995,2025,31,273838,55363,2752,2293,0.041417553239528206,0.8332122093023255,0.2021742782228909,4.121257247095175,0.03980155373635987,3.9564077919925618
event_hard,phase_size_rate,0.01,5,1995,2025,31,273838,55363,2752,2264,0.04089373769485035,0.8226744186046512,0.2021742782228909,4.069134935640418,0.039360710012285305,3.9126766041106413
event_hard,component_only_rate,0.01,5,1995,2025,31,273838,55363,2752,1761,0.03180824738543793,0.6398982558139535,0.2021742782228909,3.165082430063064,0.03159235204173874,3.1391633861113664
event_hard,component_phase_size_mass_frequency,0.01,5,1995,2025,31,273838,55363,2752,281,0.005075592001878511,0.10210755813953488,0.2021742782228909,0.5050472247857586,0.004929120372006334,0.4895982563276534
event_hard,component_phase_size_mass_rate,0.05,5,1995,2025,31,273838,55363,13706,10065,0.18180011921319292,0.7343499197431782,0.2021742782228909,3.632261859412106,0.17531926822950455,3.5020224458638523
event_hard,component_phase_size_rate,0.05,5,1995,2025,31,273838,55363,13706,10002,0.18066217509889276,0.729753392674741,0.2021742782228909,3.6095263902473804,0.175031792104386,3.496264083899363
event_hard,species_phase_size_rate,0.05,5,1995,2025,31,273838,55363,13706,9728,0.1757130213319365,0.7097621479643952,0.2021742782228909,3.5106451434039707,0.17209081200102602,3.437411756206127
event_hard,phase_size_rate,0.05,5,1995,2025,31,273838,55363,13706,9050,0.16346657514946805,0.660294761418357,0.2021742782228909,3.2659681895359722,0.15976400497072255,3.1912100954944824
event_hard,component_only_rate,0.05,5,1995,2025,31,273838,55363,13706,6611,0.1194118815815617,0.4823434991974318,0.2021742782228909,2.385780740444454,0.1185227674526663,2.3673465990419036
event_hard,component_phase_size_mass_frequency,0.05,5,1995,2025,31,273838,55363,13706,1275,0.02302982136083666,0.09302495257551437,0.2021742782228909,0.4601225902384933,0.02437526980186431,0.48677267222342746
event_hard,component_phase_size_mass_rate,0.1,5,1995,2025,31,273838,55363,27395,18262,0.3298592923071365,0.6666179959846688,0.2021742782228909,3.29724434702689,0.32079947803579395,3.2063222589701814
