test_year,train_start,train_end,train_window,target,score,budget_share,test_component_records,target_records,selected_component_records,captured_target_records,capture_rate,selected_target_rate,overall_target_rate,lift
1995,1990,1994,5,part_damage,phase_size_rate,0.01,2573,588,26,21,0.03571428571428571,0.8076923076923077,0.22852701127089,3.5343406593406597
1995,1990,1994,5,part_damage,phase_size_rate,0.05,2573,588,129,88,0.14965986394557823,0.6821705426356589,0.22852701127089,2.9850762010230447
1995,1990,1994,5,part_damage,phase_size_rate,0.1,2573,588,258,155,0.26360544217687076,0.6007751937984496,0.22852701127089,2.6289023361282498
1995,1990,1994,5,part_damage,phase_size_rate,0.2,2573,588,515,271,0.4608843537414966,0.5262135922330097,0.22852701127089,2.3026319265570305
1995,1990,1994,5,part_damage,species_phase_size_rate,0.01,2573,588,26,24,0.04081632653061224,0.9230769230769231,0.22852701127089,4.039246467817897
1995,1990,1994,5,part_damage,species_phase_size_rate,0.05,2573,588,129,104,0.17687074829931973,0.8062015503875969,0.22852701127089,3.52781732848178
1995,1990,1994,5,part_damage,species_phase_size_rate,0.1,2573,588,258,171,0.29081632653061223,0.6627906976744186,0.22852701127089,2.9002728998576175
1995,1990,1994,5,part_damage,species_phase_size_rate,0.2,2573,588,515,266,0.4523809523809524,0.516504854368932,0.22852701127089,2.2601479426722144
1995,1990,1994,5,part_damage,component_only_rate,0.01,2573,588,26,19,0.03231292517006803,0.7307692307692307,0.22852701127089,3.1977367870225013
1995,1990,1994,5,part_damage,component_only_rate,0.05,2573,588,129,71,0.12074829931972789,0.5503875968992248,0.22852701127089,2.4084137530981384
1995,1990,1994,5,part_damage,component_only_rate,0.1,2573,588,258,115,0.195578231292517,0.44573643410852715,0.22852701127089,1.9504759268048306
1995,1990,1994,5,part_damage,component_only_rate,0.2,2573,588,515,210,0.35714285714285715,0.4077669902912621,0.22852701127089,1.7843273231622745
1995,1990,1994,5,part_damage,component_phase_size_rate,0.01,2573,588,26,21,0.03571428571428571,0.8076923076923077,0.22852701127089,3.5343406593406597
1995,1990,1994,5,part_damage,component_phase_size_rate,0.05,2573,588,129,93,0.15816326530612246,0.7209302325581395,0.22852701127089,3.1546828033538996
1995,1990,1994,5,part_damage,component_phase_size_rate,0.1,2573,588,258,170,0.2891156462585034,0.6589147286821705,0.22852701127089,2.883312239624532
1995,1990,1994,5,part_damage,component_phase_size_rate,0.2,2573,588,515,291,0.49489795918367346,0.5650485436893203,0.22852701127089,2.4725678620962945
1995,1990,1994,5,part_damage,component_phase_size_mass_rate,0.01,2573,588,26,16,0.027210884353741496,0.6153846153846154,0.22852701127089,2.6928309785452647
1995,1990,1994,5,part_damage,component_phase_size_mass_rate,0.05,2573,588,129,80,0.1360544217687075,0.6201550387596899,0.22852701127089,2.713705637293677
1995,1990,1994,5,part_damage,component_phase_size_mass_rate,0.1,2573,588,258,161,0.27380952380952384,0.624031007751938,0.22852701127089,2.7306662975267626
1995,1990,1994,5,part_damage,component_phase_size_mass_rate,0.2,2573,588,515,301,0.5119047619047619,0.5844660194174758,0.22852701127089,2.557535829865927
1995,1990,1994,5,part_damage,component_phase_size_mass_frequency,0.01,2573,588,26,1,0.0017006802721088435,0.038461538461538464,0.22852701127089,0.16830193615907904
1995,1990,1994,5,part_damage,component_phase_size_mass_frequency,0.05,2573,588,129,24,0.04081632653061224,0.18604651162790697,0.22852701127089,0.8141116911881031
1995,1990,1994,5,part_damage,component_phase_size_mass_frequency,0.1,2573,588,258,46,0.0782312925170068,0.17829457364341086,0.22852701127089,0.7801903707219322
1995,1990,1994,5,part_damage,component_phase_size_mass_frequency,0.2,2573,588,515,75,0.12755102040816327,0.14563106796116504,0.22852701127089,0.6372597582722409
1995,1990,1994,5,event_hard,phase_size_rate,0.01,2573,911,26,23,0.025246981339187707,0.8846153846153846,0.35406140691799454,2.498480114835768
1995,1990,1994,5,event_hard,phase_size_rate,0.05,2573,911,129,107,0.11745334796926454,0.8294573643410853,0.35406140691799454,2.3426935218985867
1995,1990,1994,5,event_hard,phase_size_rate,0.1,2573,911,258,194,0.21295279912184412,0.751937984496124,0.35406140691799454,2.1237502020949806
1995,1990,1994,5,event_hard,phase_size_rate,0.2,2573,911,515,355,0.3896816684961581,0.6893203883495146,0.35406140691799454,1.9468950156128444
1995,1990,1994,5,event_hard,species_phase_size_rate,0.01,2573,911,26,26,0.02854006586169045,1.0,0.35406140691799454,2.8243688254665207
1995,1990,1994,5,event_hard,species_phase_size_rate,0.05,2573,911,129,107,0.11745334796926454,0.8294573643410853,0.35406140691799454,2.3426935218985867
1995,1990,1994,5,event_hard,species_phase_size_rate,0.1,2573,911,258,206,0.2261251372118551,0.7984496124031008,0.35406140691799454,2.2551161939771442
1995,1990,1994,5,event_hard,species_phase_size_rate,0.2,2573,911,515,360,0.3951701427003293,0.6990291262135923,0.35406140691799454,1.9743160721707718
1995,1990,1994,5,event_hard,component_only_rate,0.01,2573,911,26,24,0.026344676180021953,0.9230769230769231,0.35406140691799454,2.607109685046019
1995,1990,1994,5,event_hard,component_only_rate,0.05,2573,911,129,93,0.10208562019758508,0.7209302325581395,0.35406140691799454,2.036172874173538
1995,1990,1994,5,event_hard,component_only_rate,0.1,2573,911,258,157,0.17233809001097694,0.6085271317829457,0.35406140691799454,1.718705060458309
1995,1990,1994,5,event_hard,component_only_rate,0.2,2573,911,515,291,0.3194291986827662,0.5650485436893203,0.35406140691799454,1.5959054916713735
1995,1990,1994,5,event_hard,component_phase_size_rate,0.01,2573,911,26,24,0.026344676180021953,0.9230769230769231,0.35406140691799454,2.607109685046019
1995,1990,1994,5,event_hard,component_phase_size_rate,0.05,2573,911,129,111,0.12184412733260154,0.8604651162790697,0.35406140691799454,2.430270849820029
1995,1990,1994,5,event_hard,component_phase_size_rate,0.1,2573,911,258,201,0.22063666300768386,0.7790697674418605,0.35406140691799454,2.200380364026243
1995,1990,1994,5,event_hard,component_phase_size_rate,0.2,2573,911,515,374,0.4105378704720088,0.7262135922330097,0.35406140691799454,2.0510950305329683
1995,1990,1994,5,event_hard,component_phase_size_mass_rate,0.01,2573,911,26,19,0.020856201975850714,0.7307692307692307,0.35406140691799454,2.0639618339947647
1995,1990,1994,5,event_hard,component_phase_size_mass_rate,0.05,2573,911,129,95,0.10428100987925357,0.7364341085271318,0.35406140691799454,2.0799615381342593
1995,1990,1994,5,event_hard,component_phase_size_mass_rate,0.1,2573,911,258,188,0.20636663007683864,0.7286821705426356,0.35406140691799454,2.0580672061538987
1995,1990,1994,5,event_hard,component_phase_size_mass_rate,0.2,2573,911,515,369,0.40504939626783754,0.7165048543689321,0.35406140691799454,2.023673973975041
1995,1990,1994,5,event_hard,component_phase_size_mass_frequency,0.01,2573,911,26,3,0.003293084522502744,0.11538461538461539,0.35406140691799454,0.32588871063075237
1995,1990,1994,5,event_hard,component_phase_size_mass_frequency,0.05,2573,911,129,34,0.03732162458836443,0.26356589147286824,0.35406140691799454,0.7444072873322612
1995,1990,1994,5,event_hard,component_phase_size_mass_frequency,0.1,2573,911,258,66,0.07244785949506037,0.2558139534883721,0.35406140691799454,0.7225129553519006
1995,1990,1994,5,event_hard,component_phase_size_mass_frequency,0.2,2573,911,515,106,0.1163556531284303,0.2058252427184466,0.35406140691799454,0.5813263990280605
1996,1991,1995,5,part_damage,phase_size_rate,0.01,2533,576,26,16,0.027777777777777776,0.6153846153846154,0.2273983418870904,2.7061965811965814
1996,1991,1995,5,part_damage,phase_size_rate,0.05,2533,576,127,80,0.1388888888888889,0.6299212598425197,0.2273983418870904,2.7701224846894137
1996,1991,1995,5,part_damage,phase_size_rate,0.1,2533,576,254,146,0.2534722222222222,0.5748031496062992,0.2273983418870904,2.52773676727909
1996,1991,1995,5,part_damage,phase_size_rate,0.2,2533,576,507,272,0.4722222222222222,0.5364891518737672,0.2273983418870904,2.3592483015559935
1996,1991,1995,5,part_damage,species_phase_size_rate,0.01,2533,576,26,24,0.041666666666666664,0.9230769230769231,0.2273983418870904,4.059294871794872
1996,1991,1995,5,part_damage,species_phase_size_rate,0.05,2533,576,127,98,0.1701388888888889,0.7716535433070866,0.2273983418870904,3.3934000437445317
1996,1991,1995,5,part_damage,species_phase_size_rate,0.1,2533,576,254,164,0.2847222222222222,0.6456692913385826,0.2273983418870904,2.839375546806649
1996,1991,1995,5,part_damage,species_phase_size_rate,0.2,2533,576,507,257,0.4461805555555556,0.5069033530571992,0.2273983418870904,2.229142696690774
1996,1991,1995,5,part_damage,component_only_rate,0.01,2533,576,26,16,0.027777777777777776,0.6153846153846154,0.2273983418870904,2.7061965811965814
