component,phase_bucket,size,aircraft_mass_class,added_component_units,unique_events,component_damage_units,unit_level_event_consequence,unique_event_consequence,associated_event_cost,event_dedup_cost_within_combo,associated_event_aos,event_dedup_aos_within_combo
engine,arrival,LARGE,1,34,34,17,34,34,1656081.0,1656081.0,14036.0,14036.0
other,arrival,LARGE,3,24,24,17,24,24,1347102.0,1347102.0,2617.0,2617.0
nose,enroute,MEDIUM,2,37,37,17,37,37,461902.0,461902.0,1942.0,1942.0
nose,departure,LARGE,4,27,27,17,27,27,62008.0,62008.0,73.5,73.5
wing_rotor,arrival,MEDIUM,3,23,23,16,23,23,85584.0,85584.0,190.5,190.5
nose,enroute,MEDIUM,1,24,24,16,24,24,71937.0,71937.0,1179.0,1179.0
nose,arrival,LARGE,2,24,24,15,24,24,996868.0,996868.0,3292.0,3292.0
other,enroute,LARGE,2,25,25,15,25,25,986436.0,986436.0,8802.0,8802.0
fuselage,arrival,LARGE,2,21,21,14,21,21,2824961.0,2824961.0,11152.0,11152.0
radome,departure,LARGE,3,18,18,14,18,18,416308.0,416308.0,979.0,979.0
radome,arrival,LARGE,2,16,16,14,16,16,377724.0,377724.0,1135.0,1135.0
nose,enroute,LARGE,1,18,18,14,18,18,134960.0,134960.0,414.0,414.0
wing_rotor,departure,MEDIUM,2,31,31,14,31,31,38662.0,38662.0,544.45,544.45
lights,unknown,MEDIUM,4,15,15,14,15,15,0.0,0.0,0.0,0.0
engine,departure,LARGE,2,26,26,13,26,26,6240881.0,6240881.0,5651.0,5651.0
wing_rotor,departure,MEDIUM,3,20,20,13,20,20,770390.0,770390.0,8059.0,8059.0
tail,arrival,LARGE,2,19,19,13,19,19,733826.0,733826.0,7605.0,7605.0
wing_rotor,arrival,UNKNOWN,2,24,24,13,24,24,94206.0,94206.0,914.0,914.0
lights,departure,LARGE,4,14,14,13,14,14,0.0,0.0,79.0,79.0
lights,arrival,LARGE,2,15,15,12,15,15,1283011.0,1283011.0,1033.0,1033.0
lights,arrival,MEDIUM,3,14,14,12,14,14,10805.0,10805.0,8.0,8.0
lights,arrival,MEDIUM,1,13,13,11,13,13,173370.0,173370.0,1037.0,1037.0
nose,arrival,LARGE,4,22,22,10,22,22,351613.0,351613.0,1988.02,1988.02
other,departure,LARGE,2,12,12,10,12,12,91100.0,91100.0,1176.0,1176.0
other,enroute,MEDIUM,1,15,15,10,15,15,33113.0,33113.0,33.5,33.5
landing_gear,arrival,LARGE,3,15,15,9,15,15,1279351.0,1279351.0,1300.0,1300.0
fuselage,departure,LARGE,1,17,17,9,17,17,600793.0,600793.0,11740.5,11740.5
nose,departure,LARGE,2,15,15,9,15,15,506410.0,506410.0,830.5,830.5
wing_rotor,arrival,LARGE,5,11,11,9,11,11,256000.0,256000.0,29.0,29.0
other,enroute,LARGE,1,12,12,9,12,12,37754.0,37754.0,2146.0,2146.0
other,unknown,MEDIUM,4,8,8,8,8,8,1763650.0,1763650.0,131.54,131.54
other,departure,LARGE,4,11,11,8,11,11,1405780.0,1405780.0,184.0,184.0
radome,arrival,MEDIUM,2,10,10,8,10,10,192448.0,192448.0,387.0,387.0
fuselage,departure,LARGE,4,20,20,8,20,20,1100.0,1100.0,101.7,101.7
wing_rotor,departure,MEDIUM,4,15,15,7,15,15,850000.0,850000.0,411.0,411.0
radome,arrival,MEDIUM,3,8,8,7,8,8,272940.0,272940.0,496.0,496.0
lights,arrival,LARGE,1,8,8,7,8,8,132530.0,132530.0,1420.0,1420.0
nose,arrival,MEDIUM,1,13,13,7,13,13,33194.0,33194.0,780.0,780.0
lights,arrival,SMALL,3,10,10,7,10,10,3974.0,3974.0,58.5,58.5
tail,unknown,SMALL,4,9,9,7,9,9,3666.0,3666.0,9.0,9.0
other,arrival,MEDIUM,2,7,7,7,7,7,1250.0,1250.0,12.0,12.0
lights,unknown,UNKNOWN,4,7,7,7,7,7,0.0,0.0,1.2,1.2
wing_rotor,enroute,MEDIUM,2,28,28,6,28,28,195043.0,195043.0,1922.2,1922.2
tail,arrival,MEDIUM,2,10,10,6,10,10,179787.0,179787.0,737.0,737.0
fuselage,departure,LARGE,2,11,11,6,11,11,143810.0,143810.0,578.0,578.0
