test_year,event_id,component,phase_bucket,size,aircraft_mass_class,part_damage,event_hard,cost,aos,species,airport_id,airport,aircraft
2023,1502536.0,tail,arrival,LARGE,3,True,True,739200.0,500.0,Geese,KOMA,EPPLEY AIRFIELD,C-560
2007,683919.0,wing_rotor,departure,LARGE,3,True,True,735775.0,1152.0,Canada goose,KHEF,MANASSAS REGNL ARPT/HARRY P. DAVIS FIELD,CL-300
2024,1629977.0,wing_rotor,arrival,LARGE,4,True,True,718200.0,144.0,Canada goose,KEWR,NEWARK LIBERTY INTL ARPT,A-321
2004,662609.0,wing_rotor,arrival,LARGE,2,True,True,710508.0,2880.0,Wapiti (elk),KSOW,SHOW LOW REGIONAL ARPT,PILATUS PC-12
2004,662609.0,propeller,arrival,LARGE,2,True,True,710508.0,2880.0,Wapiti (elk),KSOW,SHOW LOW REGIONAL ARPT,PILATUS PC-12
2004,662609.0,fuselage,arrival,LARGE,2,True,True,710508.0,2880.0,Wapiti (elk),KSOW,SHOW LOW REGIONAL ARPT,PILATUS PC-12
2011,1338414.0,wing_rotor,arrival,MEDIUM,1,True,True,708784.0,1440.0,Western/Clark's grebe complex,KBMC,BRIGHAM CITY ARPT,BELL-206
2012,737293.0,lights,departure,SMALL,3,True,True,700000.0,192.0,European starling,KBAK,COLUMBUS MUNICIPAL ARPT (IN),HAWKER 800
2012,737427.0,engine,arrival,LARGE,4,True,True,700000.0,0.0,Canada goose,KSLC,SALT LAKE CITY INTL,B-757-200
2024,1546124.0,engine,departure,MEDIUM,3,True,True,697680.0,2880.0,Unknown bird - medium,KDUA,DURANT REGIONAL ARPT-EAKER FIELD,C-560
2013,748584.0,windshield,enroute,MEDIUM,2,True,True,692948.0,48.0,Common raven,ZZZZ,UNKNOWN,AW 119
2024,1662974.0,lights,departure,MEDIUM,4,True,True,692550.0,120.0,Herring gull,KJFK,JOHN F KENNEDY INTL,B-737-900
2013,1824226.0,engine,departure,MEDIUM,4,True,True,680652.0,74.0,Mallard,KSTL,LAMBERT-ST LOUIS INTL,B-737-300
2013,747021.0,engine,departure,MEDIUM,4,True,True,680652.0,72.0,Anhinga,KRSW,SOUTHWEST FLORIDA INTL ARPT,B-737-300
