test_year,event_id,component,phase_bucket,size,aircraft_mass_class,part_damage,event_hard,cost,aos,species,airport_id,airport,aircraft
2008,695961.0,engine,departure,LARGE,2,True,True,4476000.0,197.0,Canada goose,KMMU,MORRISTOWN MUNICIPAL ARPT,LEARJET-60
2010,1374704.0,engine,departure,LARGE,4,True,True,4277500.0,84.0,Bald eagle,PASI,SITKA ROCKY GUTIERREZ ARPT,B-737-400
2004,1436968.0,engine,departure,MEDIUM,4,True,True,4247500.0,72.0,Mallard,KPDX,PORTLAND INTL (OR),B-757-200
2001,1437866.0,engine,departure,MEDIUM,4,True,True,4172200.0,0.0,Gulls,KDTW,DETROIT METRO WAYNE COUNTY ARPT,B-737-200
2014,1364973.0,engine,departure,MEDIUM,4,True,True,4071000.0,36.0,Mallard,KBOS,GENERAL EDWARD LAWRENCE LOGAN INTL ARPT,A-320
2009,1436982.0,engine,departure,LARGE,4,True,True,4044600.0,0.0,Snow goose,KMCI,KANSAS CITY INTL,A-319
2012,1364961.0,engine,departure,LARGE,4,True,True,3835247.0,535.0,Snow goose,KMEM,MEMPHIS INTL,MD-11
2012,1364961.0,wing_rotor,departure,LARGE,4,True,True,3835247.0,535.0,Snow goose,KMEM,MEMPHIS INTL,MD-11
2012,1364961.0,radome,departure,LARGE,4,True,True,3835247.0,535.0,Snow goose,KMEM,MEMPHIS INTL,MD-11
2001,648704.0,engine,departure,LARGE,4,True,True,3628000.0,96.0,Canada goose,KDAY,JAMES M COX DAYTON INTL,A-300
2015,776486.0,engine,departure,MEDIUM,4,True,True,3390000.0,24.0,Red-tailed hawk,KSEA,SEATTLE-TACOMA INTL,A-330
2017,987753.0,windshield,enroute,LARGE,2,True,True,3329940.0,0.0,Snow goose,ZZZZ,UNKNOWN,BELL-407
2007,1437871.0,engine,departure,MEDIUM,4,True,True,3266960.0,275.0,Canvasback,KORD,CHICAGO O'HARE INTL ARPT,B-767-300
2003,1365019.0,engine,departure,MEDIUM,4,True,True,3212196.0,96.0,Great egret,KOAK,METRO OAKLAND INTL,DC-10-10
2010,718151.0,engine,departure,LARGE,4,True,True,3023750.0,28.0,Turkey vulture,KFLL,FORT LAUDERDALE/HOLLYWOOD INTL,B-737-400
2022,1409337.0,engine,arrival,LARGE,4,True,True,3022250.0,0.0,Great horned owl,KSEA,SEATTLE-TACOMA INTL,A-320
1997,1437896.0,engine,departure,MEDIUM,5,True,True,3003000.0,0.0,Gulls,KLAX,LOS ANGELES INTL,B-747-1/200
2021,1169705.0,wing_rotor,departure,LARGE,3,True,True,2991240.0,168.0,Canada goose,KTTN,TRENTON MERCER ARPT,DASSAULT-900
2008,688770.0,engine,departure,LARGE,3,True,True,2984000.0,0.0,American white pelican,KCOS,CITY OF COLORADO SPRINGS MUNI APRT,CL-601/604
2007,1093223.0,engine,departure,MEDIUM,4,True,True,2943100.0,86.0,Western grebe,KLAX,LOS ANGELES INTL,B-757-200
2012,1437879.0,engine,departure,LARGE,4,True,True,2800000.0,48.0,Black vulture,KRSW,SOUTHWEST FLORIDA INTL ARPT,A-320
1998,1437856.0,engine,departure,LARGE,4,True,True,2759400.0,98.0,Canada goose,KCOS,CITY OF COLORADO SPRINGS MUNI APRT,B-727-200
2024,1634782.0,engine,departure,MEDIUM,4,True,True,2749680.0,66.0,Unknown bird - medium,KSFO,SAN FRANCISCO INTL ARPT,EMB-170
1999,1367775.0,engine,departure,MEDIUM,5,True,True,2506400.0,84.0,Red-tailed hawk,KTOL,TOLEDO EXPRESS ARPT,B-747-1/200
2002,1364924.0,engine,departure,LARGE,4,True,True,2499000.0,0.0,Double-crested cormorant,KBOS,GENERAL EDWARD LAWRENCE LOGAN INTL ARPT,B-767-200
2002,1406635.0,engine,arrival,LARGE,4,True,True,2499000.0,0.0,Canada goose,KEWR,NEWARK LIBERTY INTL ARPT,B-737-300
2005,1364933.0,engine,departure,LARGE,4,True,True,2416680.0,0.0,Common loon,KOAK,METRO OAKLAND INTL,B-757-200
2008,691914.0,engine,departure,LARGE,4,True,True,2282760.0,336.0,Turkey vulture,KPBI,PALM BEACH INTL,BD-700 GLOBAL EXPRES
2023,1436698.0,engine,departure,MEDIUM,3,True,True,2270400.0,336.0,Hawks,KPWK,CHICAGO EXECUTIVE ARPT,C-680 SOVEREIGN
2003,1824217.0,engine,arrival,LARGE,4,True,True,2268500.0,72.0,Great blue heron,KIAD,WASHINGTON DULLES INTL ARPT,A-320
1997,623506.0,engine,departure,LARGE,4,True,True,2202200.0,50.0,Unknown bird - large,KSNA,JOHN WAYNE-ORANGE COUNTY ARPT,A-320
2021,1337441.0,engine,arrival,LARGE,4,True,True,2100990.0,48.0,Bald eagle,KSEA,SEATTLE-TACOMA INTL,B-737-700
2015,766602.0,engine,departure,LARGE,4,True,True,2074680.0,131.0,Canada goose,KJAX,JACKSONVILLE INTL,A-319
2015,771268.0,other,arrival,LARGE,4,True,True,2073342.0,72.0,Great black-backed gull,KBOS,GENERAL EDWARD LAWRENCE LOGAN INTL ARPT,A-340
2015,1371974.0,engine,arrival,LARGE,4,True,True,2034000.0,156.0,New World vultures,SVMI,SIMON BOLIVAR INTL,B-737-800
2016,1437884.0,engine,departure,LARGE,4,True,True,2008500.0,100.0,Turkey vulture,KEYW,KEY WEST INTL ARPT,EMB-170
2001,1437868.0,engine,departure,LARGE,4,True,True,1995400.0,168.0,Turkey vulture,KMIA,MIAMI INTL,B-757-200
2017,1093226.0,engine,departure,LARGE,4,True,True,1966500.0,0.0,Canada goose,KORD,CHICAGO O'HARE INTL ARPT,B-737-900
2007,685779.0,engine,departure,LARGE,4,True,True,1799481.0,96.0,Unknown bird - large,GOOY,DAKAY-YOFF-LEOPOLD SEDAR SENGHOR,B-767-400
2002,1305171.0,engine,departure,MEDIUM,4,True,True,1785000.0,0.0,American crow,KMSP,MINNEAPOLIS-ST PAUL INTL/WOLD-CHAMBERLAIN ARPT,B-727-200
2021,1159387.0,engine,departure,MEDIUM,4,True,True,1780500.0,168.0,Red-tailed hawk,KSLC,SALT LAKE CITY INTL,EMB-170
2005,672284.0,engine,departure,MEDIUM,4,True,True,1759080.0,96.0,American barn owl,PHLI,LIHUE ARPT,B-757-200
