ev_id,year,damage,severe,component_group,component,phase,size,mass,wildlife_hit,component_hit,phase_hit,size_hit,component_consistent,phase_consistent,size_consistent,severe_consistent,mapped_consistent,evidence_snippet
20080425X00551,2008,SUBS,yes,wing-rotor,wing rotor,arrival,MEDIUM,UNKNOWN,bird; bird strike,wing,landing; approach; landed,bird,1,1,1,1,1,the airplane received substantial damage on impact with a bird identified as a common loon (gavia immer) during approach to runway 23. the pilot reported that the right wing of the
20080428X00560,2008,SUBS,yes,wing-rotor,wing rotor,departure,UNKNOWN,1,eagle,wing,departed,none,1,1,1,1,1,"damage. the 14 code of federal regulations (cfr) part 91 personal pleasure flight, which departed eagle city, utah, about 30 minutes prior to the accident, was being operated in v"
20080702X00971,2008,SUBS,yes,wing-rotor,wing rotor,arrival,LARGE,1,bird; birds; birdstrike,wing; leading edge,landing; approach,large bird,1,1,1,1,1,"de havilland dhc-2 airplane, n62355, sustained substantial damage when it collided with a large bird during the landing approach, about 3/4 mile southwest of the juneau internation"
20080710X01012,2008,SUBS,yes,wing-rotor,wing rotor,departure,LARGE,1,bird; deer,wing,departure,deer,1,1,1,1,1,"the pilot reported that he was performing touch-and-go landings on runway 01. following the third landing, right at liftoff on departure (70 to 75 mph), the right wing struck a dee"
20080812X01220,2008,SUBS,yes,wing-rotor,wing rotor,departure,UNKNOWN,1,wildlife,flap,takeoff; takeoff roll,none,1,1,1,1,1,"18 airplane, n7055, sustained substantial damage when it collided with a ditch during the takeoff roll from a road, about 38 miles north of nome, alaska. the airplane was being ope"
20080815X01251,2008,SUBS,yes,wing-rotor,wing rotor,departure,LARGE,1,bird; deer,wing,takeoff; takeoff roll,deer,1,1,1,1,1,"the airplane impacted a deer during takeoff roll at dusk. the pilot immediately aborted the takeoff and returned to the ramp area. the left wing, lower fuselage, propeller, and l"
20080821X01280,2008,SUBS,yes,wing-rotor,wing rotor,departure,MEDIUM,1,bird,rotor,climb,bird,1,1,1,1,1,"he tried to remove the bees, he inadvertently pitched the helicopter up. the helicopter climbed to about 35 feet above ground level and the rotor rpm decayed, and the airspeed we"
20080919X01499,2008,SUBS,yes,wing-rotor,wing rotor,departure,LARGE,UNKNOWN,bird; deer,wing,takeoff,deer,1,1,1,1,1,"ight time, a cirrus sr-20, n1281, operated by western michigan university collided with a deer during takeoff from the greenville municipal airport (6d6), greenville, michigan. th"
20081003X17110,2008,SUBS,yes,wing-rotor,wing rotor,en route,MEDIUM,1,bird,wing; leading edge,cruise,bird,1,1,1,1,1,"during an instructional cross-country flight at a cruise altitude of 8,500 feet mean sea level (msl), a bird impacted the leading edge of the airplane's right wing. the certified f"
20081003X42134,2008,SUBS,yes,wing-rotor,wing rotor,departure,LARGE,1,bird; birds,wing; flap,takeoff; departed,flock,1,1,1,1,1,e flight was returning when the accident occurred. the pilot further stated that after takeoff the flight proceeded to the destination airport and while in contact with tampa ap
