enrichment_set,budget_share,records,severe_records,top_severe_records,capture_rate,capture_ci_low,capture_ci_high,odds_ratio,or_ci_low,or_ci_high
text-supported component records,0.05,1124,1045,655,0.6267942583732058,0.5980861244019139,0.6574162679425838,30.383383243958495,27.082114867235934,34.19443652567931
text-supported component records,0.1,1124,1045,956,0.9148325358851674,0.8976076555023923,0.9311004784688995,81.42669353603446,67.6799505769271,99.99222720269921
all mapped records,0.05,1165,1074,658,0.6126629422718808,0.5847299813780261,0.6415270018621974,28.050459009257008,25.055745369537853,31.253162479657565
all mapped records,0.1,1165,1074,961,0.8947858472998138,0.8770949720670391,0.9134078212290503,61.856725670293734,51.59370145429514,74.27048723195577
