fallback_level,records,record_share,damage_records,damage_rate
four-level cell,272394,0.9947268092814,22641,0.08311857089363202
component-phase-size,1261,0.004604912393458906,291,0.23076923076923078
component-phase,176,0.0006427157662559615,57,0.32386363636363635
component,7,2.556255888518029e-05,3,0.42857142857142855
global,0,0.0,0,0.0
