enrichment_set,budget_share,records,top_records,top_record_share,severe_records,top_severe_records,top_severe_capture_rate,enrichment_odds_ratio
text-supported component records,0.05,1124,692,0.6156583629893239,1045,655,0.6267942583732058,30.383383243958495
text-supported component records,0.1,1124,1013,0.9012455516014235,1045,956,0.9148325358851674,81.42669353603446
all mapped records,0.05,1165,695,0.5965665236051502,1074,658,0.6126629422718808,28.050459009257008
all mapped records,0.1,1165,1018,0.8738197424892704,1074,961,0.8947858472998138,61.856725670293734
