budget_share,test_years,test_component_records,target_records,selected_component_records,captured_target_records,capture_rate,selected_target_rate,lift,weighted_capture_rate,mean_weighted_lift
0.05,26,149518,8564,7487,3175,0.3707379729098552,0.4240683852010151,7.403766559841823,0.3727974938646991,7.443347394775187
0.1,26,149518,8564,14961,4719,0.5510275572162541,0.31542009223982354,5.50688712651961,0.5536448136478195,5.517939103664984
