test_year,budget_share,score,test_component_records,target_records,selected_component_records,captured_target_records,capture_rate,selected_target_rate,lift,selected_weighted_damage,total_weighted_damage,weighted_capture_rate,weighted_selected_target_rate,weighted_overall_target_rate,weighted_lift
2000,0.05,component_phase_size_mass_rate,3228,404,162,89,0.2202970297029703,0.5493827160493827,4.38962229556289,8.70015656508802,39.736287899252865,0.21894739103829586,0.5476192027013425,0.1257001241586714,4.356552599821478
2000,0.1,component_phase_size_mass_rate,3228,404,323,174,0.4306930693069307,0.5386996904024768,4.304263862918799,17.214587009696892,39.736287899252865,0.43322081451953054,0.5382095036704628,0.1257001241586714,4.281694288472463
2001,0.05,component_phase_size_mass_rate,3061,343,154,85,0.2478134110787172,0.551948051948052,4.925693839688009,8.440539345380225,34.16238895590678,0.24707110958412148,0.551580220376514,0.11318409845102294,4.873301355271155
2001,0.1,component_phase_size_mass_rate,3061,343,307,152,0.44314868804664725,0.495114006514658,4.418495550849469,15.228155587698009,34.16238895590678,0.4457579242292719,0.4951725798717756,0.11318409845102294,4.374930636444897
2002,0.05,component_phase_size_mass_rate,3350,375,168,105,0.28,0.625,5.583333333333333,10.345717738917191,37.07357866947524,0.27905905257091895,0.6228527378915425,0.11186644678792515,5.567824452959859
2002,0.1,component_phase_size_mass_rate,3350,375,335,176,0.4693333333333333,0.5253731343283582,4.693333333333333,17.440877756793377,37.07357866947524,0.4704395524447558,0.5232331777673224,0.11186644678792515,4.677302200893719
2003,0.05,component_phase_size_mass_rate,3556,321,178,83,0.2585669781931464,0.46629213483146065,5.1655290699709475,8.241174202108313,31.91825701979222,0.25819624790282364,0.4645303400427952,0.09016577023665807,5.151958873345644
2003,0.1,component_phase_size_mass_rate,3556,321,356,130,0.40498442367601245,0.3651685393258427,4.045293849977248,12.988170092302406,31.91825701979222,0.40691977899195936,0.3640546858197625,0.09016577023665807,4.0376152154440454
2004,0.05,component_phase_size_mass_rate,3949,308,198,103,0.3344155844155844,0.5202020202020202,6.669733044733045,10.36979646221326,30.68221078828408,0.3379742266216664,0.523356158464113,0.07834542737507877,6.68011109261738
2004,0.1,component_phase_size_mass_rate,3949,308,395,165,0.5357142857142857,0.4177215189873418,5.355786618444847,16.55504786715185,30.68221078828408,0.5395650261771016,0.41879645927924186,0.07834542737507877,5.345512473551949
2005,0.05,component_phase_size_mass_rate,4037,317,202,109,0.3438485804416404,0.5396039603960396,6.871864946747041,10.946476175324161,31.676959875811338,0.3455658692702685,0.540973325338823,0.07897708098512736,6.849750821262904
2005,0.1,component_phase_size_mass_rate,4037,317,404,174,0.5488958990536278,0.4306930693069307,5.48488303088984,17.41730933606129,31.676959875811338,0.5498415695302005,0.429910406673349,0.07897708098512736,5.443483113212401
2006,0.05,component_phase_size_mass_rate,4275,341,214,115,0.33724340175953077,0.5373831775700935,6.736988516457917,11.60088022745391,34.15689991599285,0.3396350446318513,0.5371228961804912,0.08000148570287055,6.713911516285986
2006,0.1,component_phase_size_mass_rate,4275,341,428,180,0.5278592375366569,0.4205607476635514,5.272425795488805,18.160026416254734,34.15689991599285,0.5316649479583448,0.4224224480474175,0.08000148570287055,5.280182540813245
2007,0.05,component_phase_size_mass_rate,4530,317,227,112,0.35331230283911674,0.4933920704845815,7.05068163815506,11.116449290509602,31.66736636308004,0.351038010646503,0.49018655279743256,0.06979531012606079,7.023201872906392
2007,0.1,component_phase_size_mass_rate,4530,317,453,175,0.5520504731861199,0.38631346578366443,5.520504731861198,17.404219625036756,31.66736636308004,0.5495947918589079,0.38182857112306146,0.06979531012606079,5.4706909451855985
2008,0.05,component_phase_size_mass_rate,4255,323,213,122,0.37770897832817335,0.5727699530516432,7.545313158621492,12.251115245856152,32.31982699132614,0.37905881269550284,0.5717255866685472,0.07546909499158315,7.575625316989824
2008,0.1,component_phase_size_mass_rate,4255,323,426,185,0.5727554179566563,0.43427230046948356,5.7208316981351475,18.46836304487993,32.31982699132614,0.5714251827473084,0.4318752002657144,0.07546909499158315,5.722543781847128
2009,0.05,component_phase_size_mass_rate,5681,344,285,125,0.3633720930232558,0.43859649122807015,7.243217054263566,12.615811875993494,34.77007689455713,0.3628353171105112,0.43578133700650373,0.06032875558232084,7.223443162388189
2009,0.1,component_phase_size_mass_rate,5681,344,569,184,0.5348837209302325,0.3233743409490334,5.340376834103077,18.64689581833223,34.77007689455713,0.5362914748471895,0.321823755037901,0.06032875558232084,5.334500138972044
2010,0.05,component_phase_size_mass_rate,5400,336,270,120,0.35714285714285715,0.4444444444444444,7.142857142857142,12.171955143005379,33.98602009853725,0.35814594082256945,0.44522843572010967,0.062056561692172475,7.174558557218111
2010,0.1,component_phase_size_mass_rate,5400,336,540,185,0.5505952380952381,0.3425925925925926,5.505952380952381,18.792020375433694,33.98602009853725,0.5529338334100055,0.34294447439662323,0.062056561692172475,5.526320908621669
2011,0.05,component_phase_size_mass_rate,5459,305,273,114,0.3737704918032787,0.4175824175824176,7.474040713384976,11.615818231058187,30.606718244945217,0.37951857948627243,0.4167473764667691,0.055338292728784565,7.530904115695556
