test_year,score,gbif_stratum,budget_share,test_component_records,target_records,selected_component_records,captured_target_records,capture_rate,selected_target_rate,overall_target_rate,lift,event_deduplicated_cost_capture,event_deduplicated_aos_capture,selected_event_deduplicated_cost,total_event_deduplicated_cost,selected_event_deduplicated_aos,total_event_deduplicated_aos
2000,component_transition_score,all matched,0.05,3234,408,162,89,0.2181372549019608,0.5493827160493827,0.1261595547309833,4.354665940450254,0.4890126807917789,0.3414221900277677,8879615.0,18158251.0,2828.0,8283.0
2000,component_transition_score,all matched,0.1,3234,408,324,175,0.42892156862745096,0.5401234567901234,0.1261595547309833,4.281272694262889,0.7277493300428549,0.7794277435711698,13214655.0,18158251.0,6456.0,8283.0
2000,component_transition_score,high bird activity,0.05,1599,228,80,45,0.19736842105263158,0.5625,0.1425891181988743,3.944901315789474,0.2984884153786449,0.4694835680751174,1546741.0,5181913.0,2200.0,4686.0
2000,component_transition_score,high bird activity,0.1,1599,228,160,92,0.40350877192982454,0.575,0.1425891181988743,4.032565789473684,0.41765328750212516,0.6120358514724712,2164243.0,5181913.0,2868.0,4686.0
2000,component_transition_score,low bird activity,0.05,1635,180,82,44,0.24444444444444444,0.5365853658536586,0.11009174311926606,4.873983739837398,0.5794681057167284,0.1912705031971087,7519374.0,12976338.0,688.0,3597.0
2000,component_transition_score,low bird activity,0.1,1635,180,164,81,0.45,0.49390243902439024,0.11009174311926606,4.486280487804878,0.8353409875729193,0.7578537670280789,10839667.0,12976338.0,2726.0,3597.0
2000,gbif_occurrence_only,all matched,0.05,3234,408,162,22,0.05392156862745098,0.13580246913580246,0.1261595547309833,1.0764342774146693,0.009515949526196108,0.022697090426174092,172793.0,18158251.0,188.0,8283.0
2000,gbif_occurrence_only,all matched,0.1,3234,408,324,38,0.09313725490196079,0.11728395061728394,0.1261595547309833,0.9296477850399418,0.024901682436265477,0.3403356271882168,452171.0,18158251.0,2819.0,8283.0
2001,component_transition_score,all matched,0.05,3066,343,154,85,0.2478134110787172,0.551948051948052,0.11187214611872145,4.933739729658098,0.7732638134305904,0.1265776140027637,25241745.0,32643122.0,1374.0,10855.0
2001,component_transition_score,all matched,0.1,3066,343,307,152,0.44314868804664725,0.495114006514658,0.11187214611872145,4.425712956192249,0.8716970453990277,0.6687240902809765,28454913.0,32643122.0,7259.0,10855.0
2001,component_transition_score,high bird activity,0.05,1467,187,74,45,0.24064171122994651,0.6081081081081081,0.1274710293115201,4.770559329382859,0.7349634640028063,0.07505335546597107,14334967.0,19504326.0,633.0,8434.0
2001,component_transition_score,high bird activity,0.1,1467,187,147,79,0.42245989304812837,0.5374149659863946,0.1274710293115201,4.215977300010914,0.7532642758329614,0.6843727768555845,14691912.0,19504326.0,5772.0,8434.0
2001,component_transition_score,low bird activity,0.05,1599,156,80,40,0.2564102564102564,0.5,0.0975609756097561,5.125,0.8301200505738882,0.40850888062783974,10906778.0,13138796.0,989.0,2421.0
2001,component_transition_score,low bird activity,0.1,1599,156,160,69,0.4423076923076923,0.43125,0.0975609756097561,4.4203125,0.9638249958367571,0.6162742668318877,12663500.0,13138796.0,1492.0,2421.0
2001,gbif_occurrence_only,all matched,0.05,3066,343,154,15,0.043731778425655975,0.09740259740259741,0.11187214611872145,0.8706599522926054,8.890081040655364e-05,0.0023952095808383233,2902.0,32643122.0,26.0,10855.0
2001,gbif_occurrence_only,all matched,0.1,3066,343,307,32,0.09329446064139942,0.10423452768729642,0.11187214611872145,0.9317290434088946,0.007460346470536733,0.00783049286043298,243529.0,32643122.0,85.0,10855.0
2002,component_transition_score,all matched,0.05,3361,375,169,105,0.28,0.621301775147929,0.11157393632847366,5.568520710059172,0.5901257251006209,0.41391986276191645,11636580.0,19718815.0,3378.0,8161.0
2002,component_transition_score,all matched,0.1,3361,375,337,177,0.472,0.5252225519287834,0.11157393632847366,4.70739465875371,0.8293310221734926,0.7269942409018503,16353425.0,19718815.0,5933.0,8161.0
2002,component_transition_score,high bird activity,0.05,1632,206,82,50,0.24271844660194175,0.6097560975609756,0.12622549019607843,4.830689083589865,0.6794068592623956,0.4681597860605048,9881203.0,14543867.0,2801.0,5983.0
2002,component_transition_score,high bird activity,0.1,1632,206,164,82,0.39805825242718446,0.5,0.12622549019607843,3.9611650485436893,0.9232402909075007,0.7633294333946181,13427484.0,14543867.0,4567.0,5983.0
2002,component_transition_score,low bird activity,0.05,1729,169,87,56,0.33136094674556216,0.6436781609195402,0.09774436090225563,6.585322723253758,0.49442564447024395,0.29292929292929293,2558627.0,5174948.0,638.0,2178.0
2002,component_transition_score,low bird activity,0.1,1729,169,173,88,0.5207100591715976,0.5086705202312138,0.09774436090225563,5.20409070698088,0.5372819205139839,0.5257116620752984,2780406.0,5174948.0,1145.0,2178.0
2002,gbif_occurrence_only,all matched,0.05,3361,375,169,17,0.04533333333333334,0.10059171597633136,0.11157393632847366,0.901570019723866,0.13670674429472562,0.017277294449209654,2695695.0,19718815.0,141.0,8161.0
2002,gbif_occurrence_only,all matched,0.1,3361,375,337,37,0.09866666666666667,0.10979228486646884,0.11157393632847366,0.9840316518298715,0.2814525112183465,0.023894130621247397,5549910.0,19718815.0,195.0,8161.0
2003,component_transition_score,all matched,0.05,3560,321,178,83,0.2585669781931464,0.46629213483146065,0.09016853932584269,5.1713395638629285,0.5654891295324463,0.20647345039136875,9196060.0,16262134.0,1952.0,9454.0
2003,component_transition_score,all matched,0.1,3560,321,356,130,0.40498442367601245,0.3651685393258427,0.09016853932584269,4.049844236760125,0.5735718325774465,0.2360905436852126,9327502.0,16262134.0,2232.0,9454.0
2003,component_transition_score,high bird activity,0.05,1612,171,81,37,0.21637426900584794,0.4567901234567901,0.10607940446650124,4.306115081943542,0.4089485197515564,0.07059679767103348,3602066.0,8808116.0,485.0,6870.0
2003,component_transition_score,high bird activity,0.1,1612,171,162,69,0.40350877192982454,0.42592592592592593,0.10607940446650124,4.0151613601906,0.42913240470493347,0.14395924308588065,3779848.0,8808116.0,989.0,6870.0
2003,component_transition_score,low bird activity,0.05,1948,150,98,40,0.26666666666666666,0.40816326530612246,0.07700205338809035,5.300680272108844,0.7366970404418127,0.46671826625387,5491353.0,7454018.0,1206.0,2584.0
2003,component_transition_score,low bird activity,0.1,1948,150,195,58,0.38666666666666666,0.29743589743589743,0.07700205338809035,3.8627008547008543,0.7366970404418127,0.4810371517027864,5491353.0,7454018.0,1243.0,2584.0
2003,gbif_occurrence_only,all matched,0.05,3560,321,178,21,0.06542056074766354,0.11797752808988764,0.09016853932584269,1.308411214953271,0.005445841240762129,0.03680981595092025,88561.0,16262134.0,348.0,9454.0
2003,gbif_occurrence_only,all matched,0.1,3560,321,356,39,0.12149532710280374,0.10955056179775281,0.09016853932584269,1.2149532710280375,0.4343682077641225,0.08789930188280093,7063754.0,16262134.0,831.0,9454.0
2004,component_transition_score,all matched,0.05,3959,309,198,103,0.3333333333333333,0.5202020202020202,0.07805001262945188,6.664983164983165,0.774859211269885,0.48018862499281156,11874237.0,15324380.0,4175.0,8694.5
2004,component_transition_score,all matched,0.1,3959,309,396,165,0.5339805825242718,0.4166666666666667,0.07805001262945188,5.338457389428264,0.7957010985110001,0.5860026453505089,12193626.0,15324380.0,5095.0,8694.5
2004,component_transition_score,high bird activity,0.05,1977,177,99,51,0.288135593220339,0.5151515151515151,0.08952959028831563,5.753980482794042,0.9428534396530645,0.5177103571962337,10649754.0,11295238.0,3464.0,6691.0
2004,component_transition_score,high bird activity,0.1,1977,177,198,88,0.4971751412429379,0.4444444444444444,0.08952959028831563,4.96421845574388,0.9607455814565394,0.6178448662382304,10851850.0,11295238.0,4134.0,6691.0
2004,component_transition_score,low bird activity,0.05,1982,132,100,50,0.3787878787878788,0.5,0.06659939455095863,7.507575757575757,0.27944932196482525,0.397304716745695,1125941.0,4029142.0,796.0,2003.5
2004,component_transition_score,low bird activity,0.1,1982,132,199,73,0.553030303030303,0.36683417085427134,0.06659939455095863,5.508070656311862,0.33301779882664845,0.46718243074619414,1341776.0,4029142.0,936.0,2003.5
2004,gbif_occurrence_only,all matched,0.05,3959,309,198,22,0.07119741100323625,0.1111111111111111,0.07805001262945188,1.4235886371808701,0.001600391010925075,0.22278451894876072,24525.0,15324380.0,1937.0,8694.5
2004,gbif_occurrence_only,all matched,0.1,3959,309,396,43,0.13915857605177995,0.10858585858585859,0.07805001262945188,1.3912343499722142,0.04643587538288661,0.2720110414629939,711601.0,15324380.0,2365.0,8694.5
2005,component_transition_score,all matched,0.05,4046,319,203,109,0.34169278996865204,0.5369458128078818,0.07884330202669303,6.810290779375203,0.6828639859453843,0.41034231609613986,21592599.0,31620644.0,2817.0,6865.0
2005,component_transition_score,all matched,0.1,4046,319,405,174,0.5454545454545454,0.42962962962962964,0.07884330202669303,5.449158249158249,0.7968471167127399,0.5691187181354698,25196819.0,31620644.0,3907.0,6865.0
2005,component_transition_score,high bird activity,0.05,2110,176,106,54,0.3068181818181818,0.5094339622641509,0.08341232227488152,6.107418524871355,0.6306556064674155,0.4187354538401862,7925058.0,12566380.0,2159.0,5156.0
2005,component_transition_score,high bird activity,0.1,2110,176,211,86,0.48863636363636365,0.4075829383886256,0.08341232227488152,4.886363636363636,0.6933758170610789,0.5616757176105508,8713224.0,12566380.0,2896.0,5156.0
2005,component_transition_score,low bird activity,0.05,1936,143,97,53,0.3706293706293706,0.5463917525773195,0.07386363636363637,7.397303727200633,0.7172956667337033,0.385020479812756,13667541.0,19054264.0,658.0,1709.0
2005,component_transition_score,low bird activity,0.1,1936,143,194,87,0.6083916083916084,0.4484536082474227,0.07386363636363637,6.07137192704203,0.8541473446573429,0.4961966062024576,16275149.0,19054264.0,848.0,1709.0
2005,gbif_occurrence_only,all matched,0.05,4046,319,203,14,0.0438871473354232,0.06896551724137931,0.07884330202669303,0.8747162468922279,0.07606103784603502,0.11595047341587764,2405099.0,31620644.0,796.0,6865.0
2005,gbif_occurrence_only,all matched,0.1,4046,319,405,31,0.09717868338557993,0.07654320987654321,0.07884330202669303,0.9708270443902629,0.16139636498231977,0.17028404952658413,5103457.0,31620644.0,1169.0,6865.0
2006,component_transition_score,all matched,0.05,4279,341,214,115,0.33724340175953077,0.5373831775700935,0.07969151670951156,6.743292131444076,0.3296254903139055,0.6004154367552202,8606541.0,26110059.0,2746.0,4573.5
2006,component_transition_score,all matched,0.1,4279,341,428,180,0.5278592375366569,0.4205607476635514,0.07969151670951156,5.277359059391016,0.9061053443042775,0.8645457527058051,23658464.0,26110059.0,3954.0,4573.5
2006,component_transition_score,high bird activity,0.05,2198,193,110,62,0.32124352331606215,0.5636363636363636,0.08780709736123748,6.4190296749882245,0.5735333850863487,0.6515339111294538,6595342.0,11499491.0,2368.0,3634.5
2006,component_transition_score,high bird activity,0.1,2198,193,220,98,0.5077720207253886,0.44545454545454544,0.08780709736123748,5.073104097974564,0.7998578371860111,0.8950337047736965,9197958.0,11499491.0,3253.0,3634.5
2006,component_transition_score,low bird activity,0.05,2081,148,105,54,0.36486486486486486,0.5142857142857142,0.071119654012494,7.23127413127413,0.13765371750092126,0.402555910543131,2011199.0,14610568.0,378.0,939.0
