airport_id,year,status,bytes
BDL,2003,downloaded,446650
BDL,2004,downloaded,448975
BDL,2005,downloaded,450417
BDL,2006,downloaded,450307
BDL,2007,downloaded,449460
BDL,2008,downloaded,448825
BDL,2009,downloaded,452043
BDL,2010,downloaded,451609
BDL,2011,downloaded,448593
BDL,2012,downloaded,473336
BDL,2013,downloaded,472890
BDL,2014,downloaded,474433
BDL,2015,downloaded,472331
BDL,2016,downloaded,476290
BDL,2017,downloaded,474146
BDL,2018,downloaded,474514
BDL,2019,downloaded,476074
BDL,2020,downloaded,477775
BDL,2021,downloaded,476253
BDL,2022,downloaded,476182
BDL,2023,downloaded,475723
BDL,2024,downloaded,476328
BDL,2025,downloaded,476974
BHM,2000,downloaded,426148
BHM,2001,downloaded,432856
BHM,2002,downloaded,443853
BHM,2003,downloaded,437740
BHM,2004,downloaded,431977
BHM,2005,downloaded,428229
BHM,2006,downloaded,425930
BHM,2007,downloaded,443864
BHM,2008,downloaded,438636
BHM,2009,downloaded,452020
BHM,2010,downloaded,431233
BHM,2011,downloaded,424436
BHM,2012,downloaded,452794
BHM,2013,downloaded,458139
BHM,2014,downloaded,466906
BHM,2015,downloaded,465248
BHM,2016,downloaded,465930
BHM,2017,downloaded,464691
BHM,2018,downloaded,468646
BHM,2019,downloaded,469336
BHM,2020,downloaded,469639
BHM,2021,downloaded,468752
BHM,2022,downloaded,465628
BHM,2023,downloaded,469616
BHM,2024,downloaded,468988
BHM,2025,downloaded,469058
BKL,2000,downloaded,429593
BKL,2001,downloaded,413850
BKL,2002,downloaded,429552
BKL,2003,downloaded,421668
BKL,2004,downloaded,435170
BKL,2005,downloaded,435458
BKL,2006,downloaded,436754
BKL,2007,downloaded,434037
BKL,2008,downloaded,437185
BKL,2009,downloaded,436780
BKL,2010,downloaded,432609
BKL,2011,downloaded,434919
BKL,2012,downloaded,455619
BKL,2013,downloaded,442337
BKL,2014,downloaded,457259
BKL,2015,downloaded,456910
BKL,2016,downloaded,456692
BKL,2017,downloaded,460443
BKL,2018,downloaded,459961
BKL,2019,downloaded,459775
BKL,2020,downloaded,459293
BKL,2021,downloaded,459050
BKL,2022,downloaded,457498
BKL,2023,downloaded,456753
BKL,2024,downloaded,459472
BKL,2025,downloaded,458421
BNA,2000,downloaded,447681
BNA,2001,downloaded,442855
BNA,2002,downloaded,443332
BNA,2003,downloaded,444333
BNA,2004,downloaded,447995
BNA,2005,downloaded,444656
BNA,2006,downloaded,444327
BNA,2007,downloaded,444104
BNA,2008,downloaded,446766
BNA,2009,downloaded,449040
BNA,2010,downloaded,446378
BNA,2011,downloaded,447210
BNA,2012,downloaded,470511
BNA,2013,downloaded,471925
BNA,2014,downloaded,472031
BNA,2015,downloaded,470253
BNA,2016,downloaded,471847
BNA,2017,downloaded,472414
BNA,2018,downloaded,472119
BNA,2019,downloaded,471868
BNA,2020,downloaded,471738
BNA,2021,downloaded,469904
BNA,2022,downloaded,470874
BNA,2023,downloaded,474021
BNA,2024,downloaded,471563
BNA,2025,downloaded,471225
BOI,2000,downloaded,420967
BOI,2001,downloaded,420310
BOI,2002,downloaded,418572
BOI,2003,downloaded,418888
BOI,2004,downloaded,422455
BOI,2005,downloaded,420969
BOI,2006,downloaded,421700
BOI,2007,downloaded,419229
BOI,2008,downloaded,422258
BOI,2009,downloaded,421501
BOI,2010,downloaded,424194
BOI,2011,downloaded,422144
BOI,2012,downloaded,445172
BOI,2013,downloaded,443022
BOI,2014,downloaded,446012
BOI,2015,downloaded,445041
BOI,2016,downloaded,446851
BOI,2017,downloaded,446173
BOI,2018,downloaded,444789
BOI,2019,downloaded,446219
BOI,2020,downloaded,445271
BOI,2021,downloaded,444652
BOI,2022,downloaded,444382
BOI,2023,downloaded,447262
BOI,2024,downloaded,448022
BOI,2025,downloaded,444008
BOS,2000,downloaded,449402
BOS,2001,downloaded,448424
BOS,2002,downloaded,448163
BOS,2003,downloaded,448508
BOS,2004,downloaded,444888
BOS,2005,downloaded,449942
BOS,2006,downloaded,451120
BOS,2007,downloaded,449072
BOS,2008,downloaded,451547
BOS,2009,downloaded,472709
BOS,2010,downloaded,457559
BOS,2011,downloaded,451021
BOS,2012,downloaded,474470
BOS,2013,downloaded,474327
BOS,2014,downloaded,474306
BOS,2015,downloaded,473073
BOS,2016,downloaded,475573
BOS,2017,downloaded,474809
BOS,2018,downloaded,476208
BOS,2019,downloaded,477364
BOS,2020,downloaded,479964
BOS,2021,downloaded,477713
