test_year,score,budget_share,test_component_records,target_records,selected_component_records,captured_target_records,capture_rate,selected_target_rate,overall_target_rate,lift,event_deduplicated_cost_capture,event_deduplicated_aos_capture,selected_event_deduplicated_cost,total_event_deduplicated_cost,selected_event_deduplicated_aos,total_event_deduplicated_aos
1995,hierarchical_review_rule,0.01,2573,588,26,18,0.030612244897959183,0.6923076923076923,0.22852701127089,3.029434850863422,0.002510557991664374,0.2795757410932826,126925.0,50556490.0,2570.0,9192.5
1995,hierarchical_review_rule,0.025,2573,588,65,49,0.08333333333333333,0.7538461538461538,0.22852701127089,3.2987179487179485,0.15257010524267012,0.3901006255099266,7713409.0,50556490.0,3586.0,9192.5
1995,hierarchical_review_rule,0.05,2573,588,129,98,0.16666666666666666,0.7596899224806202,0.22852701127089,3.3242894056847545,0.1758077548500697,0.48191460429698124,8888223.0,50556490.0,4430.0,9192.5
1995,hierarchical_review_rule,0.1,2573,588,258,172,0.2925170068027211,0.6666666666666666,0.22852701127089,2.9172335600907027,0.4876532765625145,0.5184661408757139,24654038.0,50556490.0,4766.0,9192.5
1995,hierarchical_review_rule,0.2,2573,588,515,311,0.5289115646258503,0.6038834951456311,0.22852701127089,2.6425037976355594,0.9747579786492298,0.8967092738645634,49280342.0,50556490.0,8243.0,9192.5
1995,historical_frequency,0.01,2573,588,26,1,0.0017006802721088435,0.038461538461538464,0.22852701127089,0.16830193615907904,0.0004590904154936389,0.0005439216752787598,23210.0,50556490.0,5.0,9192.5
1995,historical_frequency,0.025,2573,588,65,1,0.0017006802721088435,0.015384615384615385,0.22852701127089,0.0673207744636316,0.0004590904154936389,0.0005439216752787598,23210.0,50556490.0,5.0,9192.5
1995,historical_frequency,0.05,2573,588,129,24,0.04081632653061224,0.18604651162790697,0.22852701127089,0.8141116911881031,0.03387879577874176,0.025237965732934457,1712793.0,50556490.0,232.0,9192.5
1995,historical_frequency,0.1,2573,588,258,46,0.0782312925170068,0.17829457364341086,0.22852701127089,0.7801903707219322,0.03387879577874176,0.02817514277943976,1712793.0,50556490.0,259.0,9192.5
1995,historical_frequency,0.2,2573,588,515,75,0.12755102040816327,0.14563106796116504,0.22852701127089,0.6372597582722409,0.03387879577874176,0.033831928202338865,1712793.0,50556490.0,311.0,9192.5
1996,hierarchical_review_rule,0.01,2533,576,26,24,0.041666666666666664,0.9230769230769231,0.2273983418870904,4.059294871794872,0.021916936997200008,0.15902651285164945,236954.0,10811456.0,3143.0,19764.0
1996,hierarchical_review_rule,0.025,2533,576,64,56,0.09722222222222222,0.875,0.2273983418870904,3.847873263888889,0.10968809381456114,0.30626391418741145,1185888.0,10811456.0,6053.0,19764.0
1996,hierarchical_review_rule,0.05,2533,576,127,102,0.17708333333333334,0.8031496062992126,0.2273983418870904,3.531906167979003,0.17319452625067336,0.5474600283343453,1872485.0,10811456.0,10820.0,19764.0
