score,operation_stratum,budget_share,test_years,test_component_records,target_records,selected_component_records,captured_target_records,capture_rate,selected_target_rate,overall_target_rate,lift,mean_weighted_lift
airport_operations_only,all matched,0.05,26,149518,8564,7487,388,0.045305931807566556,0.051823160144250036,0.057277384662716195,0.904775252037363,0.9286902958825003
airport_operations_only,all matched,0.1,26,149518,8564,14961,729,0.08512377393741243,0.048726689392420294,0.057277384662716195,0.850714285914981,0.8679811811691122
airport_operations_only,high operations,0.05,26,49278,2829,2475,105,0.03711558854718982,0.04242424242424243,0.05740898575429198,0.7389826151225939,0.8551496086185287
airport_operations_only,high operations,0.1,26,49278,2829,4939,237,0.08377518557794274,0.04798542215023284,0.05740898575429198,0.8358521147823167,0.9100900568666215
airport_operations_only,low operations,0.05,26,50841,2674,2552,142,0.053103964098728494,0.055642633228840124,0.052595346275643676,1.0579383380656173,1.0899390866289445
airport_operations_only,low operations,0.1,26,50841,2674,5095,261,0.09760658189977561,0.051226692836113835,0.052595346275643676,0.9739776703368973,0.9590528321996376
airport_operations_only,medium operations,0.05,26,49399,3061,2485,170,0.055537406076445604,0.06841046277665996,0.06196481710156076,1.1040210554407794,1.1295177314237643
airport_operations_only,medium operations,0.1,26,49399,3061,4952,369,0.12054884024828487,0.07451534733441034,0.06196481710156076,1.2025428431795284,1.2132289911163836
component_transition_score,all matched,0.05,26,149518,8564,7487,3175,0.3707379729098552,0.4240683852010151,0.057277384662716195,7.403766559841823,7.443347394775207
component_transition_score,all matched,0.1,26,149518,8564,14961,4719,0.5510275572162541,0.31542009223982354,0.057277384662716195,5.50688712651961,5.517939103664999
component_transition_score,high operations,0.05,26,49278,2829,2475,1039,0.36726758571933543,0.4197979797979798,0.05740898575429198,7.312408924879762,7.51716865698245
component_transition_score,high operations,0.1,26,49278,2829,4939,1507,0.5326970661010958,0.3051224944320713,0.05740898575429198,5.314890873320469,5.404962709603291
component_transition_score,low operations,0.05,26,50841,2674,2552,1037,0.38780852655198206,0.40634796238244514,0.052595346275643676,7.725929975873558,7.5891522117472485
component_transition_score,low operations,0.1,26,50841,2674,5095,1529,0.5718025430067315,0.3000981354268891,0.052595346275643676,5.7057925591766905,5.638886153756984
component_transition_score,medium operations,0.05,26,49399,3061,2485,1094,0.35739954263312645,0.4402414486921529,0.06196481710156076,7.104700203836544,7.151555461428008
component_transition_score,medium operations,0.1,26,49399,3061,4952,1646,0.5377327670695851,0.3323909531502423,0.06196481710156076,5.364188400741202,5.376148961855827
