test_year,operation_stratum,score,budget_share,test_component_records,target_records,selected_component_records,captured_target_records,capture_rate,selected_target_rate,overall_target_rate,lift,weighted_capture_rate,weighted_lift
2002,low operations,component_transition_score,0.1,795,84,80,38,0.4523809523809524,0.475,0.10566037735849057,4.4955357142857135,0.45213274373367784,4.498491337653784
2002,medium operations,component_transition_score,0.05,1054,120,53,33,0.275,0.6226415094339622,0.11385199240986717,5.468867924528302,0.275449869676134,5.478664894575937
2002,medium operations,component_transition_score,0.1,1054,120,106,54,0.45,0.5094339622641509,0.11385199240986717,4.474528301886792,0.45017827038142577,4.4780324002712195
2002,high operations,component_transition_score,0.05,1501,171,76,50,0.29239766081871343,0.6578947368421053,0.11392405063291139,5.774853801169591,0.2932564533615133,5.752929506072755
2002,high operations,component_transition_score,0.1,1501,171,151,82,0.47953216374269003,0.543046357615894,0.11392405063291139,4.766740250183959,0.48083719852177237,4.7432112901403665
2002,all matched,airport_operations_only,0.05,3350,375,168,13,0.034666666666666665,0.07738095238095238,0.11194029850746269,0.6912698412698413,0.031136591771323427,0.6921917387306922
2002,all matched,airport_operations_only,0.1,3350,375,335,29,0.07733333333333334,0.08656716417910448,0.11194029850746269,0.7733333333333333,0.06999367723281025,0.7748002541182141
2002,low operations,airport_operations_only,0.05,795,84,40,6,0.07142857142857142,0.15,0.10566037735849057,1.419642857142857,0.06947206810096494,1.4260674105140503
2002,low operations,airport_operations_only,0.1,795,84,80,7,0.08333333333333333,0.0875,0.10566037735849057,0.8281249999999999,0.08108915391923556,0.83086110270886
2002,medium operations,airport_operations_only,0.05,1054,120,53,2,0.016666666666666666,0.03773584905660377,0.11385199240986717,0.3314465408805031,0.01610675307746331,0.3313709384492567
2002,medium operations,airport_operations_only,0.1,1054,120,106,9,0.075,0.08490566037735849,0.11385199240986717,0.745754716981132,0.07259677679056784,0.746169839453014
2002,high operations,airport_operations_only,0.05,1501,171,76,5,0.029239766081871343,0.06578947368421052,0.11392405063291139,0.577485380116959,0.027500572338161288,0.5742352142909616
2002,high operations,airport_operations_only,0.1,1501,171,151,10,0.05847953216374269,0.06622516556291391,0.11392405063291139,0.5813097866077999,0.05519082865430417,0.5783206663800001
2003,all matched,component_transition_score,0.05,3556,321,178,83,0.2585669781931464,0.46629213483146065,0.09026996625421822,5.1655290699709475,0.2581962479028234,5.151958873345651
2003,all matched,component_transition_score,0.1,3556,321,356,130,0.40498442367601245,0.3651685393258427,0.09026996625421822,4.045293849977248,0.406919778991959,4.037615215444051
2003,low operations,component_transition_score,0.05,914,80,46,21,0.2625,0.45652173913043476,0.087527352297593,5.215760869565218,0.2618376100032132,5.2200445718045
2003,low operations,component_transition_score,0.1,914,80,92,32,0.4,0.34782608695652173,0.087527352297593,3.973913043478261,0.40067765293909646,3.9897433851254873
