test_year,score,budget_share,test_component_records,selected_component_records,target_records,captured_target_records,damage_capture_rate,selected_damage_rate,damage_lift,hard_records,captured_hard_records,hard_capture_rate,selected_hard_rate,hard_lift,total_event_cost,selected_event_cost,event_cost_capture_rate,total_event_aos,selected_event_aos,event_aos_capture_rate
1995,hierarchical_component_transition,0.05,2573,129,588,98,0.16666666666666666,0.7596899224806202,3.3242894056847545,911,111,0.12184412733260154,0.8604651162790697,2.430270849820029,50556490.0,8888223.0,0.1758077548500697,9192.5,4430.0,0.48191460429698124
1995,hierarchical_component_transition,0.1,2573,258,588,172,0.2925170068027211,0.6666666666666666,2.9172335600907027,911,207,0.22722283205268934,0.8023255813953488,2.2660633599673243,50556490.0,24654038.0,0.4876532765625145,9192.5,4766.0,0.5184661408757139
1995,component_phase_size_mass_rate,0.05,2573,129,588,80,0.1360544217687075,0.6201550387596899,2.713705637293677,911,96,0.10537870472008781,0.7441860465116279,2.10185587011462,50556490.0,2405797.0,0.04758631384417708,9192.5,3611.0,0.39282023388632037
1995,component_phase_size_mass_rate,0.1,2573,258,588,161,0.27380952380952384,0.624031007751938,2.7306662975267626,911,201,0.22063666300768386,0.7790697674418605,2.200380364026243,50556490.0,30873706.0,0.6106774026440522,9192.5,5613.0,0.6106064726679358
1995,component_phase_size_mass_frequency,0.05,2573,129,588,24,0.04081632653061224,0.18604651162790697,0.8141116911881031,911,34,0.03732162458836443,0.26356589147286824,0.7444072873322612,50556490.0,1712793.0,0.03387879577874176,9192.5,232.0,0.025237965732934457
1995,component_phase_size_mass_frequency,0.1,2573,258,588,46,0.0782312925170068,0.17829457364341086,0.7801903707219322,911,66,0.07244785949506037,0.2558139534883721,0.7225129553519006,50556490.0,1712793.0,0.03387879577874176,9192.5,259.0,0.02817514277943976
1995,posterior_expected_burden,0.05,2573,129,588,94,0.1598639455782313,0.7286821705426356,3.1886041238200704,911,110,0.1207464324917673,0.8527131782945736,2.4083765178396686,50556490.0,8760568.0,0.17328275756485467,9192.5,4367.0,0.47506119118846885
1995,posterior_expected_burden,0.1,2573,258,588,170,0.2891156462585034,0.6589147286821705,2.883312239624532,911,213,0.23380900109769484,0.8255813953488372,2.3317463559084066,50556490.0,24860950.0,0.4917459657503913,9192.5,5189.0,0.564481914604297
1995,posterior_damage_gated_burden,0.05,2573,129,588,97,0.1649659863945578,0.751937984496124,3.2903680852185837,911,111,0.12184412733260154,0.8604651162790697,2.430270849820029,50556490.0,8888223.0,0.1758077548500697,9192.5,4369.0,0.47527875985858037
1995,posterior_damage_gated_burden,0.1,2573,258,588,172,0.2925170068027211,0.6666666666666666,2.9172335600907027,911,207,0.22722283205268934,0.8023255813953488,2.2660633599673243,50556490.0,24654038.0,0.4876532765625145,9192.5,4766.0,0.5184661408757139
